"filename", "language", "C#", "XML", "Properties", "JSON", "comment", "blank", "total"
"c:\Users\rwc\OneDrive\Programming\GitHubLowLevel\EMD\Languages\Fantastic.0.3\fan\CodeAnalysis\BinaryExpression.cs", "C#", 19, 0, 0, 0, 3, 4, 26
"c:\Users\rwc\OneDrive\Programming\GitHubLowLevel\EMD\Languages\Fantastic.0.3\fan\CodeAnalysis\Evaluator.cs", "C#", 40, 0, 0, 0, 3, 8, 51
"c:\Users\rwc\OneDrive\Programming\GitHubLowLevel\EMD\Languages\Fantastic.0.3\fan\CodeAnalysis\ExpressionSyntax.cs", "C#", 3, 0, 0, 0, 3, 2, 8
"c:\Users\rwc\OneDrive\Programming\GitHubLowLevel\EMD\Languages\Fantastic.0.3\fan\CodeAnalysis\Lexer.cs", "C#", 59, 0, 0, 0, 3, 17, 79
"c:\Users\rwc\OneDrive\Programming\GitHubLowLevel\EMD\Languages\Fantastic.0.3\fan\CodeAnalysis\LiteralExpression.cs", "C#", 13, 0, 0, 0, 3, 4, 20
"c:\Users\rwc\OneDrive\Programming\GitHubLowLevel\EMD\Languages\Fantastic.0.3\fan\CodeAnalysis\ParenthesizedExpression.cs", "C#", 19, 0, 0, 0, 3, 4, 26
"c:\Users\rwc\OneDrive\Programming\GitHubLowLevel\EMD\Languages\Fantastic.0.3\fan\CodeAnalysis\Parser.cs", "C#", 74, 0, 0, 0, 3, 23, 100
"c:\Users\rwc\OneDrive\Programming\GitHubLowLevel\EMD\Languages\Fantastic.0.3\fan\CodeAnalysis\SyntaxFacts.cs", "C#", 25, 0, 0, 0, 3, 6, 34
"c:\Users\rwc\OneDrive\Programming\GitHubLowLevel\EMD\Languages\Fantastic.0.3\fan\CodeAnalysis\SyntaxNode.cs", "C#", 7, 0, 0, 0, 3, 2, 12
"c:\Users\rwc\OneDrive\Programming\GitHubLowLevel\EMD\Languages\Fantastic.0.3\fan\CodeAnalysis\SyntaxToken.cs", "C#", 19, 0, 0, 0, 3, 4, 26
"c:\Users\rwc\OneDrive\Programming\GitHubLowLevel\EMD\Languages\Fantastic.0.3\fan\CodeAnalysis\SyntaxTree.cs", "C#", 18, 0, 0, 0, 3, 4, 25
"c:\Users\rwc\OneDrive\Programming\GitHubLowLevel\EMD\Languages\Fantastic.0.3\fan\CodeAnalysis\SyntaxType.cs", "C#", 18, 0, 0, 0, 5, 2, 25
"c:\Users\rwc\OneDrive\Programming\GitHubLowLevel\EMD\Languages\Fantastic.0.3\fan\CodeAnalysis\UnaryExpression.cs", "C#", 16, 0, 0, 0, 3, 4, 23
"c:\Users\rwc\OneDrive\Programming\GitHubLowLevel\EMD\Languages\Fantastic.0.3\fan\Program.cs", "C#", 60, 0, 0, 0, 0, 18, 78
"c:\Users\rwc\OneDrive\Programming\GitHubLowLevel\EMD\Languages\Fantastic.0.3\fan\bin\Debug\net5.0\fan.deps.json", "JSON", 0, 0, 0, 23, 0, 0, 23
"c:\Users\rwc\OneDrive\Programming\GitHubLowLevel\EMD\Languages\Fantastic.0.3\fan\bin\Debug\net5.0\fan.runtimeconfig.dev.json", "JSON", 0, 0, 0, 8, 0, 0, 8
"c:\Users\rwc\OneDrive\Programming\GitHubLowLevel\EMD\Languages\Fantastic.0.3\fan\bin\Debug\net5.0\fan.runtimeconfig.json", "JSON", 0, 0, 0, 9, 0, 0, 9
"c:\Users\rwc\OneDrive\Programming\GitHubLowLevel\EMD\Languages\Fantastic.0.3\fan\fan.csproj", "XML", 0, 6, 0, 0, 0, 3, 9
"c:\Users\rwc\OneDrive\Programming\GitHubLowLevel\EMD\Languages\Fantastic.0.3\fan\obj\Debug\net5.0\.NETCoreApp,Version=v5.0.AssemblyAttributes.cs", "C#", 3, 0, 0, 0, 1, 1, 5
"c:\Users\rwc\OneDrive\Programming\GitHubLowLevel\EMD\Languages\Fantastic.0.3\fan\obj\Debug\net5.0\fan.AssemblyInfo.cs", "C#", 9, 0, 0, 0, 10, 5, 24
"c:\Users\rwc\OneDrive\Programming\GitHubLowLevel\EMD\Languages\Fantastic.0.3\fan\obj\Debug\net5.0\fan.GeneratedMSBuildEditorConfig.editorconfig", "Properties", 0, 0, 8, 0, 0, 1, 9
"c:\Users\rwc\OneDrive\Programming\GitHubLowLevel\EMD\Languages\Fantastic.0.3\fan\obj\fan.csproj.nuget.dgspec.json", "JSON", 0, 0, 0, 62, 0, 0, 62
"c:\Users\rwc\OneDrive\Programming\GitHubLowLevel\EMD\Languages\Fantastic.0.3\fan\obj\fan.csproj.nuget.g.props", "XML", 0, 18, 0, 0, 0, 0, 18
"c:\Users\rwc\OneDrive\Programming\GitHubLowLevel\EMD\Languages\Fantastic.0.3\fan\obj\fan.csproj.nuget.g.targets", "XML", 0, 6, 0, 0, 0, 0, 6
"c:\Users\rwc\OneDrive\Programming\GitHubLowLevel\EMD\Languages\Fantastic.0.3\fan\obj\project.assets.json", "JSON", 0, 0, 0, 67, 0, 0, 67
"Total", "-", 402, 30, 8, 169, 52, 112, 773
